software engineering practices in the us and japan|1984,comparing the effectiveness of software testing strategies|1987
software engineering practices in the us and japan|1984,the tame project: towards improvement-oriented software environments|1988
experimentation in software engineering|1986,a survey of controlled experiments in software engineering|2005
experimentation in software engineering|1986,verification of results in software maintenance through external replication|1994
a controlled experiment quantitatively comparing software development approaches|1981,the tame project: towards improvement-oriented software environments|1988
a controlled experiment quantitatively comparing software development approaches|1981,building knowledge through families of experiments|1999
comparing the effectiveness of software testing strategies|1987,the tame project: towards improvement-oriented software environments|1988
comparing the effectiveness of software testing strategies|1987,building knowledge through families of experiments|1999
case studies for method and tool evaluation|1995,a systematic review of web engineering research|2005
property-based software engineering measurement|1996,a probability-based approach for measuring external attributes of software artifacts|2009
property-based software engineering measurement|1996,defining and validating measures for object-based high-level design|1999
qualitative methods in empirical studies of software engineering|1999,using metaphor to analyse qualitative data: vulcans and humans in software development|2005
the tame project: towards improvement-oriented software environments|1988,building knowledge through families of experiments|1999
building knowledge through families of experiments|1999,a systematic review of web engineering research|2005
building knowledge through families of experiments|1999,a survey of controlled experiments in software engineering|2005
building knowledge through families of experiments|1999,on the reproducibility of empirical software engineering studies based on data retrieved from development repositories|2012
a survey of controlled experiments in software engineering|2005,developing search strategies for detecting relevant experiments|2009
a survey of controlled experiments in software engineering|2005,guidelines for conducting and reporting case study research in software engineering|2009
a survey of controlled experiments in software engineering|2005,the role of non-exact replications in software engineering experiments|2011
a field study of the software design process for large systems|1988,using metaphor to analyse qualitative data: vulcans and humans in software development|2005
comparing and combining software defect detection techniques: a replicated empirical study|1997,the role of non-exact replications in software engineering experiments|2011
guidelines for conducting and reporting case study research in software engineering|2009,research synthesis in software engineering: a tertiary study|2011
lessons from applying the systematic literature review process within the software engineering domain|2007,developing search strategies for detecting relevant experiments|2009
replicated studies: building a body of knowledge about software reading techniques|2003,the role of non-exact replications in software engineering experiments|2011
replicating software engineering experiments: addressing the tacit knowledge problem|2002,guidelines for conducting and reporting case study research in software engineering|2009
replicating software engineering experiments: addressing the tacit knowledge problem|2002,replicated studies: building a body of knowledge about software reading techniques|2003
replicating software engineering experiments: a poisoned chalice or the holy grail|2005,on the reproducibility of empirical software engineering studies based on data retrieved from development repositories|2012
replicating software engineering experiments: a poisoned chalice or the holy grail|2005,replications types in experimental disciplines|2010
replications types in experimental disciplines|2010,the role of non-exact replications in software engineering experiments|2011
